1985,38830050
1986,39637821
1987,40761056
1988,42631380
1989,43289512
1990,44920823
1991,46139071
1992,47515762
1993,48571418
1994,50366256
1995,51716856
1996,53076142
1997,54088895
1998,56022470
1999,57058870
2000,57803341
2001,58656752
2002,60351484
2003,62003570
2004,63229283
2005,63157720
2006,62316918
2007,61285176
2008,58214966
2009,58389961
2010,58652674
2011,58034356
2012,56813695
2013,55553222
2014,52652568
2015,53524505
2016,53111922
2017,51151196
2018,49388411
2019,47800764
